val_accuracy,float_val_accuracy,best_val_accuracy,phase,train_accuracy,train_loss,lr,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.5113636363636364,0.5113636363636364,0.5113636363636364,float,0.3870967741935484,2.152133345603943,0.000608908593987788,0,1787896833,,False,1,07d613c6,2026-08-27_23-00-33,7.583658933639526,7.583658933639526,2527072,kilby,169.228.33.68,7.583658933639526,1
0.5852272727272727,0.5852272727272727,0.5852272727272727,float,0.5776209677419355,1.9050611065280052,0.0006079213425154211,1,1787896838,,False,2,07d613c6,2026-08-27_23-00-38,4.765713930130005,12.349372863769531,2527072,kilby,169.228.33.68,12.349372863769531,2
0.5,0.5,0.5852272727272727,float,0.6431451612903226,1.8213833128252337,0.0006049659908029581,2,1787896843,,False,3,07d613c6,2026-08-27_23-00-43,5.3394317626953125,17.688804626464844,2527072,kilby,169.228.33.68,17.688804626464844,3
0.6647727272727273,0.6647727272727273,0.6647727272727273,float,0.6854838709677419,1.8053014951367532,0.0006000617054403163,3,1787896848,,False,4,07d613c6,2026-08-27_23-00-48,4.517202138900757,22.2060067653656,2527072,kilby,169.228.33.68,22.2060067653656,4
0.6477272727272727,0.6477272727272727,0.6647727272727273,float,0.7288306451612904,1.7673207925211998,0.0005932402926000016,4,1787896852,,False,5,07d613c6,2026-08-27_23-00-52,4.46217942237854,26.66818618774414,2527072,kilby,169.228.33.68,26.66818618774414,5
0.6704545454545454,0.6704545454545454,0.6704545454545454,float,0.7610887096774194,1.749828540509747,0.000584545991761875,5,1787896857,,False,6,07d613c6,2026-08-27_23-00-57,4.541954517364502,31.210140705108643,2527072,kilby,169.228.33.68,31.210140705108643,6
0.6590909090909091,0.6590909090909091,0.6704545454545454,float,0.7923387096774194,1.7357345742564048,0.0005740351888031493,6,1787896862,,False,7,07d613c6,2026-08-27_23-01-02,4.565552234649658,35.7756929397583,2527072,kilby,169.228.33.68,35.7756929397583,7
0.6988636363636364,0.6988636363636364,0.6988636363636364,float,0.7953629032258065,1.7270723965860182,0.0005617760503143391,7,1787896866,,False,8,07d613c6,2026-08-27_23-01-06,4.4808349609375,40.2565279006958,2527072,kilby,169.228.33.68,40.2565279006958,8
0.7102272727272727,0.7102272727272727,0.7102272727272727,float,0.8054435483870968,1.7208326535840188,0.0005478480815127629,8,1787896871,,False,9,07d613c6,2026-08-27_23-01-11,4.515955924987793,44.772483825683594,2527072,kilby,169.228.33.68,44.772483825683594,9
0.6818181818181818,0.6818181818181818,0.7102272727272727,float,0.8215725806451613,1.7069548349226675,0.0005323416106207002,9,1787896875,,False,10,07d613c6,2026-08-27_23-01-15,4.414750814437866,49.18723464012146,2527072,kilby,169.228.33.68,49.18723464012146,10
